ImageId,EncodedPixels,Score,Length

6c1395b82.jpg,,0.0,0
c2d55dd15.jpg,,0.0,0
2cc08eaaa.jpg,,0.0,0
a298e484d.jpg,,0.0,0
a469b4c5e.jpg,,0.0,0
dccd5c31f.jpg,,0.0,0
91af7c721.jpg,183726 4 184493 5 185260 7 186026 9 186792 10 187558 12 188323 14 189089 15 189857 15 190624 15 191391 16 192158 16 192925 17 193693 16 194460 17 195227 17 195995 16 196763 15 197530 14 198298 13 199067 11 199835 9 200604 7,0.5711786,290
91af7c721.jpg,77077 29 77845 29 78613 29 79381 29 80149 29 80917 29 81685 29 82452 30 83220 30 83987 32 84754 33 85522 33 86289 34 87057 35 87824 36 88591 40 89359 40 90126 41 90894 41 91661 42 92429 42 93197 42 93964 43 94732 43 95500 43 96267 44 97035 44 97803 44 98570 45 99338 45 100106 45 100873 46 101641 46 102408 47 103176 44 103943 45 104711 44 105479 44 106246 45 107014 45 107781 45 108549 45 109317 45 110084 46 110852 46 111620 45 112387 46 113155 46 113922 47 114690 47 115457 47 116225 47 116992 48 117760 48 118527 48 119295 48 120063 47 120830 48 121598 47 122365 47 123133 46 123901 46 124668 46 125436 46 126203 46 126970 47 127738 46 128505 46 129273 46 130041 45 130808 46 131576 45 132344 45 133111 45 133879 45 134647 44 135414 45 136182 45 136949 45 137717 45 138484 45 139252 45 140020 44 140787 44 141555 44 142322 44 143090 44 143857 44 144625 44 145393 43 146160 44 146928 44 147696 43 148463 44 149231 44 149999 44 150766 44 151534 44 152301 45 153068 46 153836 45 154603 46 155370 47 156138 46 156905 47 157672 48 158439 48 159206 49 159973 50 160741 49 161508 50 162275 51 163043 50 163810 51 164577 52 165345 51 166112 52 166880 52 167648 51 168415 52 169183 51 169951 51 170718 52 171486 51 172254 51 173021 52 173789 51 174556 52 175324 51 176091 52 176859 51 177627 50 178394 51 179162 50 179930 50 180697 50 181465 50 182233 50 183000 50 183768 50 184536 50 185304 49 186072 49 186840 49 187607 50 188375 49 189143 49 189911 49 190679 48 191447 48 192214 48 192982 47 193750 47 194518 46 195285 46 196053 45 196821 45 197589 44 198356 44 199124 43 199892 43 200660 42 201427 43 202195 42 202963 42 203731 42 204498 42 205266 42 206034 41 206802 41 207569 41 208337 41 209105 40 209872 41 210640 40 211408 39 212175 39 212943 38 213710 38 214478 37 215246 36 216013 37 216781 36 217548 37 218316 36 219084 36 219851 36 220619 36 221387 35 222154 36 222922 36 223690 35 224457 36 225225 35 225992 36 226760 36 227527 36 228295 36 229062 37 229830 36 230597 37 231364 37 232131 38 232899 37 233666 37 234434 37 235201 38 235969 37 236736 38 237504 37 238272 37 239039 38 239807 38 240575 37 241342 38 242110 38 242877 39 243645 39 244412 39 245180 39 245948 39 246715 40 247483 40 248250 40 249018 39 249785 39 250553 38 251320 38 252088 37 252855 38 253623 37 254390 37 255158 37 255925 37 256693 36 257461 36 258228 37 258996 36 259764 36 260532 35 261300 35 262067 35 262835 35 263603 34 264371 34 265138 34 265906 34 266674 33 267441 33 268209 32 268977 31 269744 31 270512 30 271279 30 272047 29 272814 30 273581 30 274349 30 275116 30 275884 30 276651 30 277419 30 278186 31 278954 30 279721 31 280489 31 281256 31 282024 31 282792 31 283559 31 284327 31 285095 31 285862 31 286630 31 287397 31 288165 31 288932 31 289700 31 290467 31 291235 31 292002 31 292769 32 293537 32 294304 32 295072 32 295839 32 296607 32 297375 32 298142 32 298910 32 299677 33 300445 33 301212 33 301980 33 302748 33 303515 34 304283 33 305051 32 305819 31 306586 31 307354 31 308122 30 308889 31 309657 30 310425 30 311192 30 311960 29 312728 29 313496 28 314265 26 315033 26 315802 24 316570 23 317338 23 318107 21 318875 21 319644 19 320412 18 321180 18 321949 16 322718 14 323488 11 324258 8,0.4777268,12709
91af7c721.jpg,73247 9 74013 13 74780 16 75547 17 76314 19 77081 21 77848 23 78616 24 79383 25 80151 26 80918 28 81686 28 82453 30 83221 30 83988 32 84756 32 85524 32 86291 35 87059 35 87827 35 88594 36 89362 36 90129 37 90897 37 91665 37 92432 38 93200 37 93967 37 94735 37 95502 38 96270 38 97037 38 97804 39 98572 38 99339 39 100106 39 100874 39 101641 39 102409 39 103176 39 103944 39 104711 39 105479 39 106246 40 107014 39 107781 40 108549 39 109317 39 110084 40 110852 39 111619 40 112387 40 113154 40 113922 40 114689 41 115457 40 116225 40 116993 40 117761 40 118529 39 119296 40 120064 40 120832 40 121600 40 122368 39 123135 40 123903 39 124671 39 125439 39 126206 39 126974 39 127742 39 128510 38 129278 38 130045 38 130813 38 131580 38 132348 38 133116 37 133884 37 134651 37 135419 37 136187 36 136955 36 137722 36 138490 35 139257 36 140025 36 140792 36 141560 36 142327 36 143095 36 143863 35 144630 36 145398 35 146166 35 146933 35 147701 34 148469 34 149236 35 150003 35 150771 35 151538 35 152306 35 153073 35 153841 34 154608 35 155376 34 156143 35 156911 34 157679 34 158446 35 159214 34 159981 35 160749 34 161516 35 162284 34 163051 35 163819 34 164586 34 165354 34 166122 34 166890 33 167657 34 168424 34 169192 34 169960 33 170728 33 171498 30 172266 30 173034 29 173802 29 174571 28 175339 28 176108 27 176877 26 177646 24 178415 23 179183 23 179952 22 180721 20 181489 20 182257 20 183025 20,0.45175928,4906
